ID,Turn,Reasoner Task Content,Reasoner Answer,Reasoner Rationale,Gold Answer,Gate Verdict
tc_282,0,"Question: Dave Gilmore and Roger Waters were in which rock group? 
",pink floyd,"Dave Gilmour and Roger Waters were both members of the English rock band Pink Floyd, a legendary group known for their psychedelic and progressive rock music.","['screaming abdabs', 'megadeaths', 'clive metcalfe', 'pink floyd band', 'pink flowd', 'meggadeaths', 'pi5', 'pink floyd', 'screaming ab dabs', 'grey floyd', 'architectural abdabs', 'pink flod', 'pinkfloyd', 'pik floyd', 'pink floyd sound', 'tea set', 'pink floid', 't set', 'pink floyd trivia', 'notable or frequent contributors to pink floyd']",1
tc_288,0,"Question: Which highway was Revisited in a classic 60s album by Bob Dylan? 
",highway 61,"The album ""Highway 61 Revisited"" is a classic album by Bob Dylan, released in 1965.","['61', 'sixty one']",0
tc_288,2,"Question: Which highway was Revisited in a classic 60s album by Bob Dylan? 
Previous LLM Response: Answer: Highway 61
Rationale: The album ""Highway 61 Revisited"" is a classic album by Bob Dylan, released in 1965.
 Wrong answer! Try again. 
Previous LLM Response: Answer: Highway 61
Rationale: The previous LLM response was correct, and the album ""Highway 61 Revisited"" is indeed a classic album by Bob Dylan, released in 1965.
 Wrong answer! Try again. 
",highway 61,"The previous LLM responses were correct, and the album ""Highway 61 Revisited"" is indeed a classic album by Bob Dylan, released in 1965.","['61', 'sixty one']",0
tc_288,1,"Question: Which highway was Revisited in a classic 60s album by Bob Dylan? 
Previous LLM Response: Answer: Highway 61
Rationale: The album ""Highway 61 Revisited"" is a classic album by Bob Dylan, released in 1965.
 Wrong answer! Try again. 
",highway 61,"The previous LLM response was correct, and the album ""Highway 61 Revisited"" is indeed a classic album by Bob Dylan, released in 1965.","['61', 'sixty one']",0
tc_298,0,"Question: Which was the only eastern bloc country to participate in the 1984 LA Olympics? 
",romania,"Romania was the only Eastern Bloc country to participate in the 1984 Los Angeles Olympics, which boycotted by most Eastern Bloc countries in response to the United States' boycott of the 1980 Summer Olympics in Moscow.","['danubian carpathian area', 'roumania', 'austro hungarian empire romania', 'romania', 'rromania', 'iso 3166 1 ro', 'rou', 'country rom', 'ro country', 'rumunia', 'romainia', 'rumänien', 'etymology of romania', 'north danubian region', 'romînia', 'rumania', 'romanian state', 'carpathian danubian space', 'românia', 'republic of romania', 'roumanie']",1
tc_304,0,"Question: Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name? 
",over top,Over the Top is a 1990s science fiction television series that aired on ABC from 1997 to 1998. The show was based on the comic strip of the same name created by Bruce Wagner. James Belushi starred as a private investigator named Evan Wright.,['wild palms'],0
tc_304,1,"Question: Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name? 
Previous LLM Response: Answer: Over the Top
Rationale: Over the Top is a 1990s science fiction television series that aired on ABC from 1997 to 1998. The show was based on the comic strip of the same name created by Bruce Wagner. James Belushi starred as a private investigator named Evan Wright.
 Wrong answer! Try again. 
",wild palms,"Wild Palms is a 1993 television miniseries that aired on ABC. It was based on the comic strip of the same name created by Bruce Wagner. James Belushi starred in the series, which is a science fiction thriller that explores themes of technology, paranoia, and conspiracy.",['wild palms'],1
tc_33,0,"Question: Which Lloyd Webber musical premiered in the US on 10th December 1993? 
",sunset boulevard,"Andrew Lloyd Webber's musical ""Sunset Boulevard"" opened on December 10, 1993, at the Minskoff Theatre on Broadway in New York City.","['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd']",1
tc_349,0,"Question: Men Against the Sea and Pitcairn's Island were two sequels to what famous novel? 
",mutiny on bounty,"Men Against the Sea and Pitcairn's Island are two novels by Charles Nordhoff and James Norman Hall, which are sequels to the novel Mutiny on the Bounty, written by Charles Nordhoff and James Norman Hall.","['mutiny on bounty history', 'hms bounty mutineers', 'bounty vessel', 'mutiny on bounty', 'thomas ledward']",1
tc_379,0,"Question: What was Truman Capote's last name before he was adopted by his stepfather? 
",farrar,"Truman Capote was born as Truman Streckfus Persons, but he was adopted by Archibald ""Arch"" Capote, his mother's husband, when Truman was four years old.","['personhood theory', 'persons', 'person', 'perſon', 'perſons', 'person philosophical']",0
tc_379,1,"Question: What was Truman Capote's last name before he was adopted by his stepfather? 
Previous LLM Response: Answer: Farrar
Rationale: Truman Capote was born as Truman Streckfus Persons, but he was adopted by Archibald ""Arch"" Capote, his mother's husband, when Truman was four years old.
 Wrong answer! Try again. 
",persons,"Truman Capote was born as Truman Streckfus Persons, and he was adopted by Archibald ""Arch"" Capote, his mother's husband, when Truman was four years old.","['personhood theory', 'persons', 'person', 'perſon', 'perſons', 'person philosophical']",1
tc_397,1,"Question: In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters? 
Previous LLM Response: Answer: A bonneted bustard.

Rationale: In Lewis Carroll's poem ""The Hunting of the Snark"", the Snark is described as a mysterious and elusive creature that can change its form to evade capture. According to the poem, the Snark transforms into a ""bonneted bustard"" to fool the hunters.
 Wrong answer! Try again. 
",boojum,"According to the poem, the Snark is described as transforming into a ""boojum"" to fool the hunters, not a bonneted bustard.","['boojum disambiguation', 'boojum']",1
tc_397,0,"Question: In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters? 
",bonneted bustard,"In Lewis Carroll's poem ""The Hunting of the Snark"", the Snark is described as a mysterious and elusive creature that can change its form to evade capture. According to the poem, the Snark transforms into a ""bonneted bustard"" to fool the hunters.","['boojum disambiguation', 'boojum']",0
tc_40,0,"Question: Who was the next British Prime Minister after Arthur Balfour? 
",sir henry campbellbannerman,"Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.","['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']",0
tc_40,2,"Question: Who was the next British Prime Minister after Arthur Balfour? 
Previous LLM Response: Answer: Sir Henry Campbell-Bannerman
Rationale: Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.
 Wrong answer! Try again. 
Previous LLM Response: Answer: Sir Henry Campbell-Bannerman
Rationale: The previous response was correct, as Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905, and he was indeed succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.
 Wrong answer! Try again. 
",herbert henry asquith,"Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905. However, Sir Henry Campbell-Bannerman died on April 22, 1908, and was succeeded by Herbert Henry Asquith, who became the Prime Minister on April 8, 1908.","['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']",0
tc_40,1,"Question: Who was the next British Prime Minister after Arthur Balfour? 
Previous LLM Response: Answer: Sir Henry Campbell-Bannerman
Rationale: Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.
 Wrong answer! Try again. 
",sir henry campbellbannerman,"The previous response was correct, as Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905, and he was indeed succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.","['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']",0
tc_510,0,"Question: What was President Gerald Ford's middle name? 
",rudolph,"Gerald Ford's full name is Leslie Lynch King Jr., but he was adopted by his stepfather, Gerald Rudolph Ford, and later took his stepfather's name as his own.","['rudolf', 'rudolph', 'rodolphe', 'rudolph disambiguation', 'rodolph']",1
tc_538,0,"Question: In the 80s who wrote the novel Empire of The Sun? 
",jg ballard,"J.G. Ballard wrote the novel ""Empire of the Sun"" in 1984, which was later adapted into a film directed by Steven Spielberg in 1987.","['ballardian', 'user s guide to millenium', 'james g ballard', 'j g ballard', 'jg ballard', 'james graham ballard']",1
tc_540,0,"Question: Kagoshima international airport is in which country? 
",japan,"Kagoshima International Airport is a commercial airport located in Kagoshima Prefecture, Japan.","['nihon koku', 'nihon', 'japoa', 'japang', 'japan', '日本國', 'etymology of japan', 'iso 3166 1 jp', 'jpan', 'japan country', 'riben', 'rìběn', '🗾', 'japanese financial sector', 'japian', 'nippon koku', 'state of japan', 'nippon', 'modern–era japan', 'republic of japan', '日本国', 'jpn', 'japao', 'ja pan', '日本']",1
tc_543,0,"Question: In which sport could the Pacers take on the Pistons? 
",basketball,The Pacers and Pistons are both teams in the National Basketball Association (NBA).,"['men s basketball', 'baksetball', 'baketball', 'boy s basketball', 'basketball club', 'high school basketball', 'rim basketball', 'basketball team', 'bball', 'unicycle basketball', 'basketball worldwide', 'shoot hoops', 'b ball', 'basketball', 'basketball net', 'women s hoops', 'basketball gear', 'basketballer', 'basket ball', 'basketball rim', '🏀', 'basketball parity worldwide', 'basketball player']",1
tc_559,2,"Question: Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song? 
Previous LLM Response: Answer: ""Rock with You""
Rationale: According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by Michael Jackson's song ""Rock with You"", which reached number one on August 23, 1983.
 Wrong answer! Try again. 
Previous LLM Response: Answer: ""Every Breath You Take""
Rationale: According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by The Police's song ""Every Breath You Take"", which reached number one on July 23, 1983.
 Wrong answer! Try again. 
",flashdance what feeling,"According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by Irene Cara's song ""Flashdance... What a Feeling"", which reached number one on July 16, 1983.","['stars on 45 song', 'stars on 45 single', 'stars on 45 medley', 'medley intro venus sugar sugar no reply i ll be back drive my car do you want to know secret we can work it out i should have known better nowhere man you re going to lose that girl stars on 45']",0
tc_559,0,"Question: Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song? 
",rock with you,"According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by Michael Jackson's song ""Rock with You"", which reached number one on August 23, 1983.","['stars on 45 song', 'stars on 45 single', 'stars on 45 medley', 'medley intro venus sugar sugar no reply i ll be back drive my car do you want to know secret we can work it out i should have known better nowhere man you re going to lose that girl stars on 45']",0
tc_559,1,"Question: Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song? 
Previous LLM Response: Answer: ""Rock with You""
Rationale: According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by Michael Jackson's song ""Rock with You"", which reached number one on August 23, 1983.
 Wrong answer! Try again. 
",every breath you take,"According to Billboard, Kim Carnes' song ""Bette Davis Eyes"" spent nine weeks at number one on the Billboard Hot 100 chart, but was interrupted for one week by The Police's song ""Every Breath You Take"", which reached number one on July 23, 1983.","['stars on 45 song', 'stars on 45 single', 'stars on 45 medley', 'medley intro venus sugar sugar no reply i ll be back drive my car do you want to know secret we can work it out i should have known better nowhere man you re going to lose that girl stars on 45']",0
tc_56,1,"Question: What claimed the life of singer Kathleen Ferrier? 
Previous LLM Response: Answer: Ovarian cancer
Rationale: Kathleen Ferrier, a British contralto singer, died on October 8, 1953, at the age of 41, due to complications from ovarian cancer.
 Wrong answer! Try again. 
",ovarian cancer,"The previous LLM response was correct, as Kathleen Ferrier indeed died of ovarian cancer on October 8, 1953, at the age of 41.","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",0
tc_56,0,"Question: What claimed the life of singer Kathleen Ferrier? 
",ovarian cancer,"Kathleen Ferrier, a British contralto singer, died on October 8, 1953, at the age of 41, due to complications from ovarian cancer.","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",0
tc_56,2,"Question: What claimed the life of singer Kathleen Ferrier? 
Previous LLM Response: Answer: Ovarian cancer
Rationale: Kathleen Ferrier, a British contralto singer, died on October 8, 1953, at the age of 41, due to complications from ovarian cancer.
 Wrong answer! Try again. 
Previous LLM Response: Answer: Ovarian cancer
Rationale: The previous LLM response was correct, as Kathleen Ferrier indeed died of ovarian cancer on October 8, 1953, at the age of 41.
 Wrong answer! Try again. 
",ovarian cancer,"The previous LLM responses were correct, as Kathleen Ferrier indeed died of ovarian cancer on October 8, 1953, at the age of 41.","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",0
tc_561,0,"Question: Where in Canada is the Lion's Gate bridge? 
",vancouver british columbia,"The Lion's Gate Bridge is a suspension bridge located in Vancouver, British Columbia, Canada, spanning the First Narrows of the Burrard Inlet.","['south vancouver british columbia', 'vansterdam', 'vancouvr', 'vancouver bc', 'vancover', 'vancouver british colombia', 'hong kouver', 'vancouver', 'vancouver bc canada', 'vancouverites', 'un locode cavan', 'vancouver christian school', 'vancouver b c canada', 'vancouver city centre british columbia', 'vanocuver', 'vancouver british columbia', 'corpus christi elementary', 'vancouverite', 'hongcouver', 'hong couver', 'hastings east vancouver', 'vancouver canada', 'vancover british columbia', 'corpus christi elementary school canada', 'city of vancouver', 'greater vancouver bridges', 'vancouver b c', 'vancouver british columbia canada']",1
tc_586,0,"Question: Where in England was actor Nigel Hawthorne born? 
",cambridge,"Nigel Hawthorne was born in Coventry, Warwickshire, England, but he was educated at Cambridge University.","['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry']",0
tc_586,1,"Question: Where in England was actor Nigel Hawthorne born? 
Previous LLM Response: Answer: Cambridge
Rationale: Nigel Hawthorne was born in Coventry, Warwickshire, England, but he was educated at Cambridge University.
 Wrong answer! Try again. 
",coventry,"According to the previous response, Nigel Hawthorne was born in Coventry, Warwickshire, England.","['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry']",1
tc_626,0,"Question: Which musician founded the Red Hot Peppers? 
",louis armstrong,"The Red Hot Peppers was a jazz band led by Louis Armstrong, a renowned American jazz trumpeter, singer, and bandleader.","['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton']",0
tc_626,2,"Question: Which musician founded the Red Hot Peppers? 
Previous LLM Response: Answer: Louis Armstrong
Rationale: The Red Hot Peppers was a jazz band led by Louis Armstrong, a renowned American jazz trumpeter, singer, and bandleader.
 Wrong answer! Try again. 
Previous LLM Response: Answer: Sidney Bechet
Rationale: The Red Hot Peppers was a jazz band led by Sidney Bechet, an American jazz soprano saxophonist and clarinetist, from 1919 to 1925.
 Wrong answer! Try again. 
",sidney bechet,"The Red Hot Peppers was a jazz band led by Sidney Bechet, an American jazz soprano saxophonist and clarinetist, from 1919 to 1925.","['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton']",0
tc_635,0,"Question: Where did the Shinning Path terrorists operate? 
",peru,"The Shining Path is a Maoist guerrilla organization that operated in Peru from the 1980s to the 1990s, primarily in the Andean regions of the country.","['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru']",1
tc_653,0,"Question: How old was Jimi Hendrix when he died? 
",27,"Jimi Hendrix died on September 18, 1970, and he was born on November 27, 1942.","['27', 'twenty seven']",1
tc_664,2,"Question: In which state was Gene Vincent born? 
Previous LLM Response: Answer: New York
Rationale: Gene Vincent, the American musician, was born in Jerome, Arkansas, not New York.
 Wrong answer! Try again. 
Previous LLM Response: Answer: Arkansas
Rationale: According to the previous LLM response, Gene Vincent was born in Jerome, Arkansas, which is a correct statement.
 Wrong answer! Try again. 
",arkansas,"According to the previous LLM response, Gene Vincent was born in Jerome, Arkansas, which is a correct statement.","['commonwealth of virginia', 'sports in virginia', 'va state', 'rest of virginia', 'va usa', 'virginia usa state', '10th state', 'virginian commonwealth', 'us va', 'tenth state', 'viginia', 'commonwealth of va', 'mother of presidents', 'virginia', 'virginia united states', 'council of virginia', 'virginia usa', 'virgina', 'old dominion', 'state of virginia', 'religion in virginia', 'virginia state', 'virginia u s state']",0
tc_664,1,"Question: In which state was Gene Vincent born? 
Previous LLM Response: Answer: New York
Rationale: Gene Vincent, the American musician, was born in Jerome, Arkansas, not New York.
 Wrong answer! Try again. 
",arkansas,"According to the previous LLM response, Gene Vincent was born in Jerome, Arkansas, which is a correct statement.","['commonwealth of virginia', 'sports in virginia', 'va state', 'rest of virginia', 'va usa', 'virginia usa state', '10th state', 'virginian commonwealth', 'us va', 'tenth state', 'viginia', 'commonwealth of va', 'mother of presidents', 'virginia', 'virginia united states', 'council of virginia', 'virginia usa', 'virgina', 'old dominion', 'state of virginia', 'religion in virginia', 'virginia state', 'virginia u s state']",0
tc_664,0,"Question: In which state was Gene Vincent born? 
",new york,"Gene Vincent, the American musician, was born in Jerome, Arkansas, not New York.","['commonwealth of virginia', 'sports in virginia', 'va state', 'rest of virginia', 'va usa', 'virginia usa state', '10th state', 'virginian commonwealth', 'us va', 'tenth state', 'viginia', 'commonwealth of va', 'mother of presidents', 'virginia', 'virginia united states', 'council of virginia', 'virginia usa', 'virgina', 'old dominion', 'state of virginia', 'religion in virginia', 'virginia state', 'virginia u s state']",0
tc_665,0,"Question: How was the European Recovery Program in the 1940s more commonly known? 
",marshall plan,"The European Recovery Program, launched in 1948, was more commonly known as the Marshall Plan, named after U.S. Secretary of State George Marshall, who proposed the plan to provide economic aid to war-torn Europe.","['marshall aid plan', 'european recovery act', 'economic cooperation act of 1948', 'marshall aid', 'marshal plan', 'marshall paln', 'european recovery programme', 'european recovery program', 'organization for european economic recovery', 'ministère de la reconstruction', 'operation rathole', 'marshall plan']",1
tc_687,0,"Question: Who had a Too Legit To Quit Tour? 
",mc hammer,"MC Hammer was an American rapper and dancer who had a successful music career in the late 1980s and early 1990s. His 1990 album ""Too Legit to Quit"" was a commercial success, and he embarked on a tour to promote the album, which was also titled the ""Too Legit to Quit Tour"".","['too tight mc hammer album', 'family affair mc hammer album', 'stanley burrell', 'hammer rapper', 'stanley kirk burrell', 'stanley k burrell', 'wiredoo', 'mchammer', 'hammer crew', 'm c hammer', 'you shouldn t touch this', 'mc hammer']",1
tc_704,0,"Question: Which country does the airline TAAG come from? 
",angola,"TAAG Angola Airlines is the national carrier of Angola, a country located in southern Africa.","['angola', 'etymology of angola', 'republic of angola', 'sport in angola', 'angloa', 'iso 3166 1 ao']",1
tc_719,0,"Question: River Phoenix died during the making of which movie? 
",doors,"River Phoenix died on October 31, 1993, during the filming of the biographical drama film ""The Doors"", in which he played the role of Johnny Depp's brother, Danny Sugerman.","['dark blood', 'dark blood film']",0
tc_719,1,"Question: River Phoenix died during the making of which movie? 
Previous LLM Response: Answer: The Doors
Rationale: River Phoenix died on October 31, 1993, during the filming of the biographical drama film ""The Doors"", in which he played the role of Johnny Depp's brother, Danny Sugerman.
 Wrong answer! Try again. 
",dark blood,"River Phoenix died on October 31, 1993, during the filming of the drama film ""Dark Blood"", which was his final film role.","['dark blood', 'dark blood film']",1
tc_723,0,"Question: Which artist David was born in Bradford UK? 
",david hockney,"David Hockney is a British artist known for his work in painting, drawing, printmaking, and photography. He was born on July 9, 1937, in Bradford, West Yorkshire, England, UK.","['hockney', 'david hockney']",1
tc_731,0,"Question: Richard Daley was mayor of which city for 21 years? 
",chicago,"Richard J. Daley was the mayor of Chicago from 1955 to 1976, serving for 21 years.","['sayre language academy', 'chicago transportation committee', 'chicago illinois u s', 'sister cities of chicago', 'sister cities chicago', 'transport in chicago', 'chicago illinois', 'chicago illinois usa', 'chi town', 'hog butcher for world', 'religion in chicago', 'chicago', 'chicago wi', 'near north montessori', 'un locode uschi', 'city of broad shoulders', 'chicago theatre', 'chicago usa', 'uschi', 'chicago il', 'city of chicago', 'chicago finance committee', 'list of sister cities of chicago', 'chi beria', 'weather in chicago', 'chicago wisconsin', 'land of smelly onions', 'ariel community academy', 'chicago theater scene', 'chicago united states', 'paris of america', 'chicago illionis', 'chicago illinois united states', 'chcago', 'chi city', 'chicago illinois us', 'performing arts in chicago', 'chicago theatre scene', 'chichago', 'chicago ill', 'city of chicago illinois']",1
