ID,Question,Answers,Documents
5ae0d91e55429924de1b7198,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",['2006'],"['The Great Outdoors (film)', 'The Great Outdoors (film)', 'Annette Bening', 'Annette Bening', 'Annette Bening']"
5ac2a5d455429921a00ab01b,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"['Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.']","['Hurt Locker (musical)', 'Metallica']"
5adc1309554299438c868d3b,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",['Fox'],"['Human Error (House)', 'House (TV series)']"
5a83168855429966c78a6b2e,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",['2017'],"['Dua Lipa', 'New Rules (song)']"
5ab698885542995eadef002a,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",['Nevada'],"['Joe Heck', 'Joe Heck', 'Catherine Cortez Masto']"
5ab345db55429969a97a8122,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",['Hawaii'],"['Warren Bryant', 'Longs Drugs']"
5adf732a5542993a75d264e9,Which  American politician did Donahue replaced ,['Kelli Ward'],"['Sue Donahue', 'Kelli Ward']"
5ac2a912554299218029dae8,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",['The Wolfhounds'],"['Courtney Love', 'Courtney Love', 'The Wolfhounds']"
5a7272eb5542997f827839d7,How old is the female main protagonist of Catching Fire?,['16-year-old'],"['Catching Fire', 'The Hunger Games (novel)']"
5ac2c3545542990b17b1548b,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,['World War II'],"['Chang Ucchin', 'Korea under Japanese rule']"
5ae3b4d05542992f92d82349,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,['Todd Phillips'],"['Quality Cafe (diner)', 'Quality Cafe (diner)', 'Old School (film)']"
5a76a401554299373536012b,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",['Carol Lawrence'],"['New Faces of 1952', 'Carol Lawrence']"
5ae3918b5542994393b9e709,Were Pavel Urysohn and Leonid Levin known for the same type of work?,['no'],"['Pavel Urysohn', 'Leonid Levin']"
5a8efd3c55429918e830d179,Are both The New Pornographers and Kings of Leon American rock bands?,['no'],"['The New Pornographers', 'Kings of Leon']"
5a8b63755542997f31a41cfe,"750 7th Avenue and 101 Park Avenue, are located in which city?",['New York City'],"['750 7th Avenue', '101 Park Avenue']"
5ac15df95542994d76dccded,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",['Amy Jo Johnson'],"['Kimberly Hart', 'Kimberly Hart', 'Power Rangers', 'Power Rangers']"
5a7a02235542996c55b2dcd3,"Who was born first, Pablo Trapero or Aleksander Ford?",['Aleksander Ford'],"['Pablo Trapero', 'Aleksander Ford']"
5ac061ab554299294b218fac,Are Jane and First for Women both women's magazines?,['yes'],"['Jane (magazine)', 'First for Women']"
5ab5a2f85542997d4ad1f197,What profession does Nicholas Ray and Elia Kazan have in common?,['director'],"['Nicholas Ray', 'Elia Kazan']"
5abd7ca05542993062266cab,Where is the company that purchased Aixam based in?,"['Roseau, Minnesota, USA']","['Aixam', 'Polaris Industries']"
5a8ce5c7554299441c6b9f64,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",['The Saimaa Gesture'],"['Adam Clayton Powell (film)', 'The Saimaa Gesture', 'The Saimaa Gesture']"
5a81ff1d554299676cceb1c3,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",['David Lee Roth'],"['Cia Berg', 'Cia Berg', 'David Lee Roth', 'David Lee Roth']"
5ae732685542991e8301cbc3,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,['Nassau County'],"['Guwe Secondary School', 'Carle Place High School']"
5a8a2ebc5542996c9b8d5e33,"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",['Australia'],"['Royal Commission into Drug Trafficking', 'Honoured Society (Australia)']"
5add28c85542992ae4cec4be,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",['California'],"['337th Flight Test Squadron', 'McClellan Air Force Base']"
5a7d90195542991319bc93cf,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,['Dessau'],"['Pirna 014', 'Junkers', 'Junkers']"
5abe3f9455429976d4830aaa,"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",['Roman Catholic'],"['University of Providence', 'University of Providence', 'Great Falls, Montana', 'Great Falls, Montana', 'Great Falls, Montana']"
5abee5e25542994516f45473,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,['The Joshua Tree'],"['Pauline Henry', 'Pauline Henry', ""I Still Haven't Found What I'm Looking For"", ""I Still Haven't Found What I'm Looking For""]"
5ae78ec5554299540e5a5605,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,['Ulster County'],"['Guitars for Wounded Warriors', 'New Paltz (village), New York']"
5a760a5f554299109176e629,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",['Tammy Wynette'],"['The Battle (George Jones song)', 'The Battle (George Jones song)', 'Tammy Wynette']"
5a7a52745542996c55b2dd4f,"Who was born first, Francis Nethersole or Elizabeth Stuart?",['Sir Francis Nethersole'],"['Francis Nethersole', 'Elizabeth Stuart, Queen of Bohemia']"
5ac1f7f355429964131be2ae,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,['ingredients in beer'],"['Hacker-Pschorr Brewery', 'Reinheitsgebot', 'Reinheitsgebot']"
5a74248855429929fddd83e5,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",['Dennis Howard Marks'],"['Don Barry Mason', 'Howard Marks']"
5abd04f15542996e802b467e,What male actor starred in The Messenger?,['Robert Sheehan'],"['The Messenger (2015 horror film)', 'Robert Sheehan']"
5ac3ad225542995ef918c1da,Are Gin and tonic and Paloma both cocktails based on tequila?,['no'],"['Gin and tonic', 'Paloma (cocktail)']"
5a736bfa5542991f29ee2e03,Who is older Glenn Hughes or Ross Lynch?,['Glenn Hughes'],"['Glenn Hughes', 'Ross Lynch']"
5addfe6c5542997dc790710e,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","['March 28, 1941']","['The Simpsons Theme', 'The Simpsons Theme', 'Alf Clausen']"
5a7a0a965542996c55b2dce7,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,['standard gauge track'],"['Southern Railway (Austria)', 'Semmering railway']"
5a8ae49155429951533613a3,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,['Sex and the City'],"['Miranda Hobbes', 'Cynthia Nixon']"
5a74bdbf5542996c70cfadc7,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",['Kato'],"['Kato (The Green Hornet)', 'Kato (The Green Hornet)', 'Bruce Lee']"
5ab99943554299131ca42391,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",['England'],"['1895–96 Everton F.C. season', 'Goodison Park']"
5a8195f35542995ce29dcc0c,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",['Province of Buenos Aires'],"['A Head Full of Dreams Tour', 'A Head Full of Dreams Tour', 'Estadio Ciudad de La Plata']"
5ab70446554299110f219a94,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",['Robert Zemeckis'],"['Roger Avary', 'Beowulf (2007 film)']"
5adbe1e755429947ff173853,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",['1932'],"['Hat Check Girl', 'Hat Check Girl', 'Ginger Rogers']"
5a904e725542995651fb5118,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",['nine'],"['Just the Two of Us (Grover Washington Jr. song)', 'Just the Two of Us (Grover Washington Jr. song)', 'Bette Davis Eyes', 'Bette Davis Eyes']"
5a7daae35542990b8f503a1d,"Which band has more members, Saint Motel or Curve?",['Saint Motel'],"['Saint Motel', 'Saint Motel', 'Curve (band)']"
5ae6038155429929b0807a55,"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?  ",['South Park'],"['Funnybot', 'South Park (season 10)']"
5a71458e5542994082a3e738,"Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University? ",['Boston College'],"['Boston College', 'Stanford University']"
5a73332b5542992359bc3287,"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",['Victor John Mature'],"['Samson and Delilah (1984 film)', 'Victor Mature', 'Victor Mature']"
5ae500fd55429908b63264d8,Iqaluit Airport and Canadian North are based out of what country?,['Canada'],"['Iqaluit Airport', 'Canadian North']"
5ab292e4554299545a2cf993,In what political party was the man who officially opened he Royal Spa Centre in 1972?,['Conservative'],"['Royal Spa Centre', 'Royal Spa Centre', 'Anthony Eden']"
5a8514545542992a431d1ad2,Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,['Salaam Bombay'],"['Sooni Taraporevala', 'Mississippi Masala']"
5ae3345f55429928c4239682,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,['yes'],"['Tim McIlrath', 'Spike Slawson']"
5ac1b48f55429963665198f3,"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",['Zooey Deschanel'],"['Gigantic (2008 film)', 'John Goodman']"
5ab9d58855429939ce03dc3a,"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",['15'],"['Splash! (UK TV series)', 'Tom Daley']"
5ab9121555429919ba4e238a,"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",['Keyshia Cole'],"['Still da Baddest', 'Keyshia Cole']"
5abf037a5542993fe9a41dbe,What profession does Am Rong and Alexandre Rockwell have in common?,['filmmaker'],"['Am Rong', 'Alexandre Rockwell']"
5ab3ed12554299753aec59f3,El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,['Golf Magazine'],"['El Nuevo Cojo', 'El Nuevo Cojo', 'Golf Magazine']"
5abcfc3b554299114383a1ad,Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,['Mr. Burns'],"['Team Homer', 'Team Homer', 'Otto Mann']"
5a74f2ff5542993748c89748,What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,"['Washington, D.C.']","['George Washington University Hospital', 'MedStar Washington Hospital Center']"
5ac52b495542994611c8b3de,what is the connection between Peter O'Meara and Norman Dike?,['Band of Brothers'],"[""Peter O'Meara"", 'Norman Dike']"
5a72b1c25542992359bc3172,"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",['Christopher Hitchens'],"['Dysteleology', 'Christopher Hitchens']"
5a72a00d5542991f9a20c53c,Who developed the prototype pacemaker used by the 34th President of the USA?,['R Adams Cowley'],"['R Adams Cowley', 'R Adams Cowley', 'Dwight D. Eisenhower']"
5a8fa73e5542992414482b22,Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,['Dennis Publishing'],"['Bizarre (magazine)', 'Bizarre (magazine)', 'Fortean Times', 'Fortean Times']"
5a8dfbeb5542995085b3736e,"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",['Garth Brooks'],"['Friends in Low Places', 'Friends in Low Places', 'No Fences']"
5ab39701554299233954ff5e,Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,['Dirt'],"['Hate to Feel', 'Dirt (Alice in Chains album)']"
5ab6ad2855429953192ad35e,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",['The Fantastic The'],"['Portugal. The Man', 'Portugal. The Man', 'John Gourley', 'John Gourley']"
5adf8d5b5542995534e8c7e1,What year was the winner of the 2016 Marrakesh ePrix born?,['1988'],"['2016 Marrakesh ePrix', 'Sébastien Buemi']"
5ae5b3df5542992663a4f20b,"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?",['Train to Busan'],"['Kim Yool-ho', 'Train to Busan']"
5ac2423755429951e9e684ff,According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"['722,664']","['Uche James-Iroha', 'Enugu']"
5a822d4655429926c1cdae45,What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,['Max Gail'],"['D.C. Cab', 'Max Gail']"
5ab9672655429970cfb8eabd,Which industry do Richard Hawley and Chicago's Catherine belong to? ,['rock band'],"['Catherine (alternative rock band)', 'Richard Hawley']"
5abb1f745542996cc5e49fb5,Are Pam Veasey and Jon Jost both American?,['yes'],"['Pam Veasey', 'Jon Jost']"
5abbbd0f55429931dba144d5,Maurice Hines and his brother were famous for what?,['dancer Gregory Hines'],"['Hot Feet', 'Maurice Hines']"
5ac3e8c65542997ea680c993,Are the New Orleans Outfall Canals the same length as the Augusta Canal?,['yes'],"['Augusta Canal', 'New Orleans Outfall Canals']"
5a87390555429960ec39b769,In which stadium do the teams owned by Myra Kraft's husband play?,['Gillette Stadium'],"['Myra Kraft', 'Robert Kraft']"
5a8766cb5542996e4f3087d6,What southern California based band covered Blue Öyster Cult's Godzilla?,['Fu Manchu'],"['Godzilla (song)', 'Fu Manchu (band)']"
5a7ca54c55429935c91b527f,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",['CEO of Lionsgate UK & Europe'],"['Zygi Kamasa', 'London Has Fallen']"
5a90c2b35542995651fb51df,"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",['Swoosie Kurtz'],"['Chuck Versus the Role Models', 'Swoosie Kurtz']"
5ae0fa8b5542997b2ef7d0c6,"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",['Lullwater Estate'],"['Rainbow Terrace', 'Asa Griggs Candler', 'Asa Griggs Candler']"
5a74a3bd55429979e28829da,Who invented the type of script used in autographs?,['the Sumerians'],"['Autograph (Assyriology)', 'Cuneiform script']"
5a8f938a55429918e830d275,Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,['17%'],"['Princess Fragrant', 'Princess Fragrant', 'Han Chinese']"
5add3b665542997545bbbcd2,The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,['David Lyle Boren'],"['Boren-McCurdy proposals', 'David L. Boren']"
5ab728e45542992aa3b8c7b4,The Thoen Stone is on display at a museum in what county?,['Lawrence County'],"['Thoen Stone', 'Deadwood, South Dakota']"
5a74fbe55542996c70cfae63,"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",['MedStar Washington Hospital Center'],"[""Children's National Medical Center"", 'MedStar Washington Hospital Center']"
5ab30bbb55429976abd1bc39,"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",['Great Britain'],"['Prince William, Duke of Gloucester', 'Prince George of Denmark']"
5abdbeed5542993062266cdd,"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?","['294,000']","['Erik Nielsen Whitehorse International Airport', 'Air North']"
5ab6e84a554299710c8d1fab,"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",['Hawaii'],"['Djuan Rivers', 'Aulani']"
5a90454855429933b8a204bb,Are Wenling and Xinzheng both in China?,['yes'],"['Wenling', 'Xinzheng']"
5abeed7e5542993fe9a41da0,What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,"['February 5, 1953']","[""2014–15 Michigan Wolverines men's basketball team"", 'John Beilein']"
5ab5141a5542991779162d70,"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?""",['Academy of Motion Picture Arts and Sciences'],"['Chris Noonan', 'Academy Award for Best Director']"
5a832d225542990548d0b1bc,Where is the base of one of the three main British intelligence agencies?,['Cheltenham'],"['British intelligence agencies', 'British intelligence agencies', 'Government Communications Headquarters', 'Government Communications Headquarters']"
5a7a0d455542990783324e13,"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ","['July 5, 1984']","['When a Man Falls in Love', 'Yeon Woo-jin']"
5a760f6855429976ec32bcf9,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,['Target Corporation'],"['Deanna Loveland', 'Deanna Loveland', 'Deanna Loveland', 'Target Corporation']"
5a8a35625542992d82986efd,"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?""",['Cheryl Campbell'],"['Kenneth Williams: Fantabulosa!', 'Kenneth Williams: Fantabulosa!', 'Cheryl Campbell', 'Cheryl Campbell']"
5ab42ebd5542992339550047,Who hosted both Miss USA 1968 and The Price Is Right?,['Bob Barker'],"['Miss USA 1968', 'Bob Barker']"
5a7ccec9554299452d57ba72,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ,['F.E.A.R.'],"['Alma Wade', 'Alma Wade', 'F.E.A.R.']"
5a804fc45542992bc0c4a6f0,Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,['Hustle'],"['Close to the Enemy', 'Robert Glenister']"
5add85b65542997545bbbd61,The Bass Rock Lighthouse was next to what Castle?,['Tantallon Castle'],"['Canty Bay', 'Bass Rock']"
5ac068d25542996f0d89cba2,"Gülhane Park and Zografeion Lyceum, are located in which country?",['Turkey'],"['Gülhane Park', 'Zografeion Lyceum']"
5ade8f5e55429975fa854f11,"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",['10 Rillington Place'],"['Edwin Brown (actor)', 'Albert Pierrepoint']"
5ac1b7495542994ab5c67dd9,What genre of music is the solo artist that contributed to Real Damage a variant of?,['synth-pop'],"['Real Damage', 'Electropop']"
5ae27edc5542992decbdcd2d,Jake David Shapiro was best know for being the screenwriter of a film directed by who?,['Roger Christian'],"['J. David Shapiro', 'Battlefield Earth (film)', 'Battlefield Earth (film)']"
5a84918e5542990548d0b2cf,"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",['Exeter Book'],"['Kings of the Angles', 'Kings of the Angles', 'Widsith', 'Widsith']"
5ac2ee675542990b17b154be,Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,['the Desert Fox'],"['Norbert Holm', 'Norbert Holm', 'Erwin Rommel', 'Erwin Rommel']"
5ae4b3da55429913cc2044d6,What state does Sang-Wook Cheong work as a materials scientist?,['New Jersey'],"['Sang-Wook Cheong', 'Rutgers University']"
5ab93287554299753720f78f,What type of vegetation does Kniphofia and Baptisia have in common?,['plant'],"['Kniphofia', 'Baptisia']"
5ae64cab5542991bbc9760be,"Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?",['My Own Worst Enemy'],"['A Place in the Sun (Lit album)', 'Lit (band)', 'Lit (band)']"
5ae64cbf5542992ae0d162c1,"Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?",['300'],"['Gary Harrison', 'Bryan White']"
5abae52a5542996cc5e49eea,The 1976 German Grand Prix was won by a driver who retired in what year?,['1979'],"['1976 German Grand Prix', 'James Hunt']"
5ae7a9c8554299540e5a5631,What event at the Asian Junior Athletics Championships has men and women competing at the same time?,['3000 metres steeplechase'],"['2001 Asian Junior Athletics Championships', '2001 Asian Junior Athletics Championships', '3000 metres steeplechase', '3000 metres steeplechase']"
5ae0fcb855429945ae959492,Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,['Anna Kournikova'],"[""1999 French Open – Women's Doubles"", ""1999 French Open – Women's Doubles"", 'Anna Kournikova']"
5ae2e27155429928c423952a,What is the length of the River which has Wild Horse Creek as a tributary ?,['375 mi long'],"['Wild Horse Creek (Wyoming)', 'Powder River (Wyoming and Montana)']"
5a80d30655429938b61421fe,Are Manhattan West and Singer Building both projects in New York?,['yes'],"['Manhattan West', 'Singer Building']"
5a7e567b55429949594199a0,Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?,['Craig Newmark'],"['24 Hours on Craigslist', '24 Hours on Craigslist', 'Craig Newmark']"
5a77bd595542995d83181291,"Between two tennis players Kim Clijsters and Mary Pierce, who is older?",['Mary Pierce'],"['Kim Clijsters', 'Mary Pierce']"
5abffc58554299012d1db552,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,['St. Olaf College'],"['Centre for Medieval and Renaissance Studies', 'St. Olaf College']"
5ab3dad4554299753aec59cb,"Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?","['2,586']","['Hot Coffee, Mississippi', 'Hot Coffee, Mississippi', 'Collins, Mississippi', 'Collins, Mississippi']"
5ac12fda5542994d76dccdb0,Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?,['Pan American Games'],"['Jo Ann Terry', '1963 Pan American Games']"
5a8e171b554299068b959e5a,"Pearl Lowe and Alison Goldfrapp, is of which nationality?",['English'],"['Pearl Lowe', 'Alison Goldfrapp']"
5a79c7f95542994bb9457099,Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?,['Jardine Matheson'],"['Matheson &amp; Company', 'Jardine Matheson', 'Jardine Matheson']"
5a731dee5542992359bc3238,"What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?","['Emrich ""Imi"" Lichtenfeld']","['Krav Maga', 'Imi Lichtenfeld', 'Imi Lichtenfeld']"
5ae377a35542994393b9e6db,Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?,['no'],"['Robert Fleischman', 'Jimmy Barnes']"
5ae655c855429908198fa599,"What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?",['Cognizant'],"['Mirabeau (company)', 'Mirabeau (company)', 'Cognizant']"
5a7906f55542990784727792,When was Fannie Lee Chaney's son born?,"['May 30, 1943']","['Fannie Lee Chaney', 'James Chaney']"
5ab74412554299110f219ae8,"The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",['Lord Black of Crossharbour'],"['Canada Memorial', 'Conrad Black']"
5ac4bfd05542997ea680caab,WNP-3 and WNP-5 were constructed by the agency formed in which year?,['1957'],"['WNP-3 and WNP-5', 'Energy Northwest']"
5ab72adb5542993667793f5d,"he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",['Hong Kong'],"['Central Harbourfront', 'International Finance Centre (Hong Kong)']"
5abb06bc554299232ef4a3bb,What city does Bundestag and Reichstag building have in common?,['Berlin'],"['Bundestag (Berlin U-Bahn)', 'Reichstag building']"
5ab51d295542996a3a96a01f,"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",['Jimmie Ross'],"['Edwyn Collins', 'Jimmie Ross', 'Jimmie Ross']"
5ae3cf7e5542990afbd1e1e2,"what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",['Presque Isle'],"['History of Presque Isle', 'Presque Isle State Park']"
