,ID,Question,Answers,Gold_retrieval
28,tc_559,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"['stars on 45 song', 'stars on 45 single', 'stars on 45 medley', 'medley intro venus sugar sugar no reply i ll be back drive my car do you want to know secret we can work it out i should have known better nowhere man you re going to lose that girl stars on 45']",[['Bette Davis Eyes']]
29,tc_561,Where in Canada is the Lion's Gate bridge?,"['south vancouver british columbia', 'vansterdam', 'vancouvr', 'vancouver bc', 'vancover', 'vancouver british colombia', 'hong kouver', 'vancouver', 'vancouver bc canada', 'vancouverites', 'un locode cavan', 'vancouver christian school', 'vancouver b c canada', 'vancouver city centre british columbia', 'vanocuver', 'vancouver british columbia', 'corpus christi elementary', 'vancouverite', 'hongcouver', 'hong couver', 'hastings east vancouver', 'vancouver canada', 'vancover british columbia', 'corpus christi elementary school canada', 'city of vancouver', 'greater vancouver bridges', 'vancouver b c', 'vancouver british columbia canada']","[['Canada'], ['Lions Gate Bridge']]"
30,tc_564,What was Walter Matthau's first movie?,['kentuckian'],[['Walter Matthau']]
31,tc_586,Where in England was actor Nigel Hawthorne born?,"['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry']","[['England'], ['Nigel Hawthorne']]"
32,tc_604,"In Greek mythology, who were Arges, Brontes and Steropes?","['cyclopes disambiguation', 'cyclopes']","[['Greek mythology'], ['Arges (cyclops)'], ['Cyclops'], ['Gaia (mythology)']]"
33,tc_626,Which musician founded the Red Hot Peppers?,"['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton']",[['Red Hot Peppers']]
34,tc_635,Where did the Shinning Path terrorists operate?,"['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru']",[['Shining Path']]
35,tc_653,How old was Jimi Hendrix when he died?,"['27', 'twenty seven']",[['Jimi Hendrix']]
36,tc_657,Which Brit broke the land speed record in 1990 in Thrust 2?,['richard noble'],"[['Thrust2'], ['ThrustSSC']]"
37,tc_664,In which state was Gene Vincent born?,"['commonwealth of virginia', 'sports in virginia', 'va state', 'rest of virginia', 'va usa', 'virginia usa state', '10th state', 'virginian commonwealth', 'us va', 'tenth state', 'viginia', 'commonwealth of va', 'mother of presidents', 'virginia', 'virginia united states', 'council of virginia', 'virginia usa', 'virgina', 'old dominion', 'state of virginia', 'religion in virginia', 'virginia state', 'virginia u s state']",[['Gene Vincent']]
38,tc_665,How was the European Recovery Program in the 1940s more commonly known?,"['marshall aid plan', 'european recovery act', 'economic cooperation act of 1948', 'marshall aid', 'marshal plan', 'marshall paln', 'european recovery programme', 'european recovery program', 'organization for european economic recovery', 'ministère de la reconstruction', 'operation rathole', 'marshall plan']",[['Marshall Plan']]
39,tc_672,Brandon Lee died during the making of which movie?,"['crow', 'crow dead time', 'crow 2016 film']","[['Brandon Lee'], ['Bruce Lee']]"
40,tc_678,Who had a 70s No 1 hit with Let's Do It Again?,"['cleotha staples', 'staple singers', 'staples singers']","[[""Let's Do It Again (song)""]]"
41,tc_687,Who had a Too Legit To Quit Tour?,"['too tight mc hammer album', 'family affair mc hammer album', 'stanley burrell', 'hammer rapper', 'stanley kirk burrell', 'stanley k burrell', 'wiredoo', 'mchammer', 'hammer crew', 'm c hammer', 'you shouldn t touch this', 'mc hammer']","[['2 Legit 2 Quit'], ['Too Legit to Quit']]"
42,tc_704,Which country does the airline TAAG come from?,"['angola', 'etymology of angola', 'republic of angola', 'sport in angola', 'angloa', 'iso 3166 1 ao']",[['TAAG Angola Airlines']]
43,tc_715,Which US No 1 single came from Diana Ross's platinum album Diana?,"['upside down diana ross song', 'up side down', 'upside down', 'upside down single']",[['Diana Ross']]
44,tc_719,River Phoenix died during the making of which movie?,"['dark blood', 'dark blood film']",[['River Phoenix']]
45,tc_723,Which artist David was born in Bradford UK?,"['hockney', 'david hockney']",[['David Hockney']]
46,tc_731,Richard Daley was mayor of which city for 21 years?,"['sayre language academy', 'chicago transportation committee', 'chicago illinois u s', 'sister cities of chicago', 'sister cities chicago', 'transport in chicago', 'chicago illinois', 'chicago illinois usa', 'chi town', 'hog butcher for world', 'religion in chicago', 'chicago', 'chicago wi', 'near north montessori', 'un locode uschi', 'city of broad shoulders', 'chicago theatre', 'chicago usa', 'uschi', 'chicago il', 'city of chicago', 'chicago finance committee', 'list of sister cities of chicago', 'chi beria', 'weather in chicago', 'chicago wisconsin', 'land of smelly onions', 'ariel community academy', 'chicago theater scene', 'chicago united states', 'paris of america', 'chicago illionis', 'chicago illinois united states', 'chcago', 'chi city', 'chicago illinois us', 'performing arts in chicago', 'chicago theatre scene', 'chichago', 'chicago ill', 'city of chicago illinois']",[['Richard M. Daley']]
47,tc_759,"""In which movie did Garbo say, """"I want to be alone"""".""","['grand hotel disambiguation', 'grand hôtel', 'grand hotel']",[['Greta Garbo']]
48,tc_783,What is Osbert Lancaster best known for producing?,"['cartoonish', 'cartoons', 'cartoon', 'cartoonistic', 'cartoonism', 'american cartoon']",[['Osbert Lancaster']]
49,tc_812,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,"['virginia wade', 'sarah virginia wade']","[['The Championships, Wimbledon']]"
50,tc_827,Who was the first US-born winner of golf's British Open?,"['hagen walter', 'walter hagen', 'walter charles hagen']",[['The Open Championship']]
51,tc_847,What was the Paramount Film Company originally called?,"['famous players film company', 'raleigh studios', 'famous players', 'celebrated players film corporation']",[['Paramount Pictures']]
52,tc_866,Who was the first person after Scott to reach the South Pole overland?,"['sir edmund', 'edmond hillary', 'sir edmund hillary', 'edmund hillary', 'sir edmund percival hillary', 'edmund hilary', 'sir ed', 'ed hillary', 'sir edmund hilary', 'edmund percival hillary']",[['South Pole']]
53,tc_875,Which journalist first told the world about the My Lai massacre?,"['dark side of camelot', 'seymour sy myron hersh', 'chain of command book', 'seymour hersch', 'seymour m hersh', 'seymour hersh', 'sy hersh', 'hersh seymour m', 'chain of command road from 9 11 to abu ghraib', 'seymour hirsch']",[['My Lai Massacre']]
54,tc_881,What is the name of Terence and Shirley Conran's dress designer son?,"['lydian stone', 'jaspis', 'egyptian jasper', 'youngite', 'bruneau jasper', 'jasper', 'jasper mineral', 'black jasper']",[['Shirley Conran']]
55,tc_886,Which drink did The Spice Girls promote?,"['homemade pepsi', 'pepsiman', 'pep si', 'diet cherry pepsi', 'pepsi', 'pepsi gold', 'pepsi man', 'diet pepsi vanilla', 'peppsey', 'pepsi cola', 'pepsi vanilla', 'pepsi x', 'pepsi b', 'pepsi convoy', 'pepsi lime', 'pepsi cino', 'pepsi avantage', 'pepsi samba', 'pepsi limited edition summer mix', 'pepsi tarik', 'pepsi am', 'pepsi sí', 'pepsi advantage', 'brad s drink', 'cherry pepsi', 'pepsi perfect', 'pepsi cappuccino', 'pepsi summer mix', 'pepsicola', 'pepsi si', 'wildcherrypepsi', 'pepsi fire', 'pepsi edge', 'joy of cola', 'vanilla pepsi', 'cokesi', 'pepsey', 'brads drink', 'pepsi holiday spice', 'pepsi ice', 'mandarin orange slice', 'diet wild cherry pepsi']",[['Spice Girls']]
56,tc_888,Who was the youngest brother in the Beach Boys?,"['carl wilson discography', 'carl dean wilson', 'carl wilson', 'wilson carl dean', 'wilson carl']",[['The Beach Boys']]
57,tc_905,Who first hosted Family Feud?,"['colin lionel emm', 'richard dawson', 'colin emm', 'dickie dawson', 'dick dawson']",[['Family Feud']]
58,tc_938,Who or what was Gentle Ben in the 60s TV series?,"['ursidae', 'bear cub', 'cub bear', 'bear hibernation', 'ursoidea', 'bear', 'reproductive behavior of bears', 'honey pig', 'ursoid', 'bears', 'mating bears', 'ursine', '🐻', 'arctos', 'bear zoology', 'sexual behavior of bears']",[['Gentle Ben']]
59,tc_945,Which 70s show was based on the British show Till Death Us Do Part?,"['stretch cunningham', 'justice for all tv pilot', 'all in family us series', 'all in family', 'those were days tv pilot', 'millard fillmore high school']",[['Till Death Us Do Part']]
60,tc_954,On what date in 1969 did Neil Armstrong first set foot on the Moon?,"['20 july', 'jul 20', 'historical anniversaries july 20', 'july 20th', 'july 20', '20th july']",[['Neil Armstrong']]
61,tc_955,Bandar Seri Begawan International airport is in which country?,"['legal system of brunei', 'state of brunei abode of peace', 'burnei', 'human rights in brunei', 'state of brunei darussalam', 'brunei darussalam', 'nation of brunei abode of peace', 'administrative divisions of brunei', 'state of brunei', 'asia brunei', 'brunei', 'brunei darrussalam', 'negara brunei darussalam', 'brunai', 'subdivisions of brunei', 'brunei darsussalam', 'iso 3166 1 bn', 'brunei sultanate', 'abode of peace', 'nation of brunei', 'بروني', 'برني دارالسلا', 'bruneian sultanate', 'health in brunei', 'etymology of brunei']",[['Bandar Seri Begawan']]
62,tc_962,What was the profession of Paul Strand (1890 - 1976)?,"['photographr', 'photographist', 'freelance photographer', 'photographer', 'freelance photography']",[['Paul Strand']]
63,tc_1007,"Who was born first, Kiefer Sutherland or Christian Slater?","['keifer sutherland', 'kiefer sutherland', 'kiefer william frederick dempsey george rufus sutherland', 'kiefer sutherlund', 'kiefer sutherland characters', 'promised land 1987', 'keefer sutherland', 'kiefer william fredrick dempsey george rufus sutherland', 'keifer southerland']","[['Kiefer Sutherland'], ['Christian Slater']]"
